"","cell_id","class_label"
"779--spleen: granulocyte-21m","779_21m 10x",14
"780--spleen: macrophage-21m","780_21m 10x",15
"782--spleen: NK cell-21m","782_21m 10x",11
"784--spleen: proerythroblast-21m","784_21m 10x",9
"788--spleen: granulocyte-24m","788_24m 10x",14
"789--spleen: macrophage-24m","789_24m 10x",15
"790--spleen: mature NK T cell-24m","790_24m 10x",11
"792--spleen: NK cell-24m","792_24m 10x",11
"794--spleen: proerythroblast-24m","794_24m 10x",9
"798--spleen: granulocyte-30m","798_30m 10x",14
"799--spleen: macrophage-30m","799_30m 10x",15
"803--spleen: NK cell-30m","803_30m 10x",11
"805--spleen: proerythroblast-30m","805_30m 10x",9
"808--spleen: macrophage-3m","808_3m 10x",15
"811--spleen: NK cell-3m","811_3m 10x",11
"812--spleen: proerythroblast-3m","812_3m 10x",9
"814--thymus: DN3 thymocyte-18m","814_18m 10x",22
"815--thymus: DN4 thymocyte-18m","815_18m 10x",11
"816--thymus: double negative T cell-18m","816_18m 10x",5
"818--thymus: professional antigen presenting cell-18m","818_18m 10x",9
"819--thymus: thymocyte-18m","819_18m 10x",24
"820--thymus: DN3 thymocyte-21m","820_21m 10x",22
"821--thymus: DN4 thymocyte-21m","821_21m 10x",11
"822--thymus: double negative T cell-21m","822_21m 10x",5
"824--thymus: professional antigen presenting cell-21m","824_21m 10x",19
"825--thymus: thymocyte-21m","825_21m 10x",24
"826--thymus: DN4 thymocyte-24m","826_24m 10x",11
"827--thymus: professional antigen presenting cell-24m","827_24m 10x",9
"828--thymus: DN3 thymocyte-3m","828_3m 10x",22
"829--thymus: DN4 thymocyte-3m","829_3m 10x",11
"830--thymus: double negative T cell-3m","830_3m 10x",5
"833--tongue: basal cell of epidermis-18m","833_18m 10x",20
"835--tongue: basal cell of epidermis-1m","835_1m 10x",20
"836--tongue: keratinocyte-1m","836_1m 10x",16
"837--tongue: basal cell of epidermis-24m","837_24m 10x",20
"838--tongue: keratinocyte-24m","838_24m 10x",16
"840--tongue: basal cell of epidermis-3m","840_3m 10x",20
"843--trachea: basal epithelial cell of tracheobronchial tree-3m","843_3m 10x",20
"846--trachea: endothelial cell-3m","846_3m 10x",10
"847--trachea: epithelial cell-3m","847_3m 10x",16
"849--trachea: granulocyte-3m","849_3m 10x",9
"853--trachea: neuroendocrine cell-3m","853_3m 10x",13
"854--trachea: smooth muscle cell of trachea-3m","854_3m 10x",13
"856--forelimb: Endothelial-E10.5","856_Forelimb_E10.5_15.0",3
"857--forelimb: Epithelial 1-E10.5","857_Forelimb_E10.5_15.0",20
"860--forelimb: Stressed mesenchymal-E10.5","860_Forelimb_E10.5_15.0",18
"862--forelimb: Endothelial-E11","862_Forelimb_E10.5_15.0",3
"863--forelimb: Epithelial 1-E11","863_Forelimb_E10.5_15.0",20
"866--forelimb: Mesenchymal 2-E11","866_Forelimb_E10.5_15.0",6
