"","class_label","cell_ontology_class","age"
"738","29","mesenchymal cell","3m"
"739","3","emVE","E5.5"
"740","3","endothelial cell","18m"
"741","3","hepatocyte","18m"
"742","3","hepatocyte","21m"
"743","3","hepatocyte","24m"
"744","3","hepatocyte","3m"
"745","3","mesenchymal stem cell","18m"
"746","3","mesenchymal stem cell","1m"
"747","3","mesenchymal stem cell","30m"
"748","3","neuroendocrine cell","3m"
"749","3","primitive and definitive endoderm","E6.5"
"750","3","primitive and definitive endoderm","E7.0"
"751","3","primitive and definitive endoderm","E7.5"
"752","3","smooth muscle cell","3m"
"753","3","type II pneumocyte","18m"
"754","3","type II pneumocyte","3m"
"755","30","Epithelial 1","E10.5"
"756","30","Epithelial 1","E11"
"757","30","Epithelial 1","E12"
"758","30","Epithelial 2","E14"
"759","30","Epithelial 2","E15"
"760","4","enterocyte of epithelium of large intestine","30m"
"761","4","epithelial cell of large intestine","30m"
"762","4","epithelial cell of large intestine","3m"
"763","4","intestinal crypt stem cell","30m"
"764","4","large intestine goblet cell","30m"
"765","4","primitive and definitive endoderm","E6.5"
"766","4","Visceral endoderm","E7.0"
"767","5","gut","E7.5"
"768","5","neural ectoderm anterior","E8.0"
"769","5","streak pre-specified/anterior","E7.0"
"770","5","streak pre-specified/anterior","E7.5"
"771","6","Chondrocyte","E12"
"772","6","Chondrocyte","E13"
"773","6","Chondrocyte","E13.5"
"774","6","Chondrocyte","E14"
"775","6","Chondrocyte","E15"
"776","6","Col1a1+ muscle 4","E13"
"777","6","Col1a1+ muscle 4","E14"
"778","6","Col1a1+ muscle 4","E15"
"779","6","Foxp1+ perichondrial","E15"
"780","6","Late erythrocyte","E14"
"781","6","Late erythrocyte","E15"
"782","6","Muscle 2","E12"
"783","6","Muscle 2","E13"
"784","6","Muscle 2","E13.5"
"785","6","Perichondrial","E13"
"786","6","Perichondrial","E13.5"
"787","6","Perichondrial","E14"
"788","6","Perichondrial","E15"
"789","6","streak pre-specified/anterior","E7.0"
"790","6","Tenocyte","E14"
"791","6","Tenocyte","E15"
"792","7","allantois","E7.5"
"793","7","amnion mesoderm early","E8.0"
"794","7","amnion mesoderm early","E8.5"
"795","7","amnion mesoderm late","E8.5"
"796","8","fibroblast","E13"
"797","8","fibroblast","E13.5"
"798","8","fibroblast","E14"
"799","8","future spinal cord","E8.5"
"800","8","gut","E8.0"
"801","8","haematopoeitic/endothelial progenitor","E8.5"
"802","8","NMPs early","E7.5"
"803","8","NMPs early","E8.0"
"804","8","NMPs late","E8.0"
"805","8","NMPs late","E8.5"
"806","8","posterior lateral plate mesoderm","E8.5"
"807","8","presomitic mesoderm","E8.0"
"808","8","presomitic mesoderm","E8.5"
"809","8","surface ectoderm","E8.0"
"810","9","allantois","E8.0"
"811","9","allantois","E8.5"
"812","9","ectoderm early 2","E7.5"
"813","9","fibroblast","E15"
"814","9","Mesenchymal 1","E10.5"
"815","9","Mesenchymal 1","E12"
"816","9","Mesenchymal 1","E13"
"817","9","Mesenchymal 2","E12"
"818","9","Mesenchymal 2","E13"
"819","9","Mesenchymal 2","E13.5"
"820","9","Mesenchymal 2","E14"
"821","9","Mesenchymal 2","E15"
"822","9","Muscle 1","E10.5"
"823","9","Perichondrial","E12"
"824","9","posterior lateral plate mesoderm","E8.0"
"825","9","primitive streak late","E7.5"
"826","9","somites","E8.0"
"827","9","somites","E8.5"
"828","9","Stressed mesenchymal","E10.5"
"829","9","surface ectoderm","E8.5"
