"","class_label","cell_ontology_class","age"
"89","0","ectoderm early 1","E7.0"
"90","0","ectoderm early 2","E6.5"
"91","0","ectoderm early 2","E7.0"
"92","0","ectoderm early 2","E7.5"
"93","0","EMP","E15"
"94","0","endocardial cell","18m"
"95","0","endocardial cell","24m"
"96","0","endocardial cell","3m"
"97","0","Endothelial","E8.5"
"98","0","Endothelial","E10.5"
"99","0","Endothelial","E11"
"100","0","Endothelial","E12"
"101","0","Endothelial","E14"
"102","0","endothelial cell","18m"
"103","0","endothelial cell","24m"
"104","0","endothelial cell","3m"
"105","0","endothelial cell of coronary artery","18m"
"106","0","endothelial cell of coronary artery","24m"
"107","0","endothelial cell of hepatic sinusoid","18m"
"108","0","endothelial cell of hepatic sinusoid","24m"
"109","0","endothelial cell of hepatic sinusoid","3m"
"110","0","enterocyte of epithelium of large intestine","18m"
"111","0","enterocyte of epithelium of large intestine","24m"
"112","0","enterocyte of epithelium of large intestine","3m"
"113","0","EPI","E5.5"
"114","0","Epiblast","E6.5"
"115","0","Epiblast","E6.75"
"116","0","Epiblast","E7.0"
"117","0","Epiblast","E7.25"
"118","0","epidermal cell","24m"
"119","0","epidermal cell","3m"
"120","0","epithelial cell of large intestine","18m"
"121","0","epithelial cell of large intestine","24m"
"122","0","epithelial cell of large intestine","3m"
"123","0","epithelial cell of lung","3m"
"124","0","epithelial cell of proximal tubule","21m"
"125","0","epithelial cell of proximal tubule","3m"
"126","0","epithelial cell of proximal tubule","18m"
"127","0","epithelial cell of proximal tubule","24m"
"128","0","epithelial cell of thymus","24m"
"129","0","erythroblast","18m"
"130","0","erythroblast","1m"
"131","0","erythroblast","21m"
"132","0","erythroblast","24m"
"133","0","erythroblast","30m"
"134","0","erythroblast","3m"
"135","0","erythroid progenitor","24m"
"136","0","Erythroid1","E7.75"
"137","0","Erythroid1","E8.0"
"138","0","Erythroid1","E8.25"
"139","0","Erythroid2","E8.25"
"140","0","Erythroid3","E8.5"
"141","0","ExE","E5.5"
"142","0","ExE ectoderm","E6.5"
"143","0","ExE ectoderm","E6.75"
"144","0","ExE ectoderm","E7.0"
"145","0","ExE ectoderm","E7.25"
"146","0","ExE ectoderm","E7.75"
"147","0","ExE ectoderm","E8.0"
"148","0","ExE ectoderm","E8.25"
"149","0","ExE endoderm","E6.5"
"150","0","ExE endoderm","E6.75"
"151","0","ExE endoderm","E7.0"
"152","0","ExE endoderm","E7.25"
"153","0","ExE endoderm","E7.75"
"154","0","ExE endoderm","E8.0"
"155","0","ExE endoderm","E8.25"
"156","0","ExE endoderm","E8.5"
"157","0","ExE mesoderm","E8.0"
"158","0","ExE mesoderm","E8.5"
"159","0","extraembryonic ectoderm 1","E6.5"
"160","0","extraembryonic ectoderm 1","E7.0"
"161","0","extraembryonic ectoderm 1","E7.5"
"162","0","extraembryonic ectoderm 1","E8.0"
"163","0","extraembryonic ectoderm 2","E6.5"
"164","0","extraembryonic ectoderm 2","E7.5"
"165","0","fat","3m"
"166","0","fenestrated cell","24m"
"167","0","fibroblast","3m"
"168","0","fibroblast of cardiac tissue","18m"
"169","0","fibroblast of cardiac tissue","24m"
"170","0","fibroblast of lung","18m"
"171","0","fibroblast of lung","24m"
